"","LSOA21CD","claimants_2022"
"628","E01000656",14.1666666666667
"629","E01000657",31.25
"630","E01000658",11.25
"631","E01000659",14.1666666666667
"632","E01000661",96.25
"633","E01000662",42.9166666666667
"634","E01000663",24.1666666666667
"635","E01000664",25.4166666666667
"636","E01000665",24.1666666666667
"637","E01000666",17.0833333333333
"638","E01000667",7.5
"639","E01000668",30.4166666666667
"640","E01000669",19.5833333333333
"641","E01000670",22.9166666666667
"642","E01000671",48.3333333333333
"643","E01000672",20.8333333333333
"644","E01000673",24.5833333333333
"645","E01000674",31.6666666666667
"646","E01000676",97.9166666666667
"647","E01000677",28.75
"648","E01000678",28.75
"649","E01000679",34.1666666666667
"650","E01000680",15.8333333333333
"651","E01000681",7.91666666666667
"652","E01000682",7.91666666666667
"653","E01000683",18.75
"654","E01000684",5.41666666666667
"655","E01000685",22.9166666666667
"656","E01000686",8.75
"657","E01000687",15.8333333333333
"658","E01000688",9.58333333333333
"659","E01000689",35.4166666666667
"660","E01000690",9.58333333333333
"661","E01000691",21.25
"662","E01000692",21.6666666666667
"663","E01000693",14.5833333333333
"664","E01000694",22.5
"665","E01000695",12.5
"666","E01000696",12.5
"667","E01000697",16.25
"668","E01000698",7.91666666666667
"669","E01000699",47.9166666666667
"670","E01000700",26.6666666666667
"671","E01000701",31.6666666666667
"672","E01000702",27.5
"673","E01000703",32.9166666666667
"674","E01000704",27.0833333333333
"675","E01000705",41.6666666666667
"676","E01000706",25
"677","E01000707",7.5
"678","E01000708",24.1666666666667
"679","E01000709",32.5
"680","E01000710",34.1666666666667
"681","E01000711",32.0833333333333
"682","E01000712",22.0833333333333
"683","E01000713",27.9166666666667
"684","E01000714",45.4166666666667
"685","E01000715",22.9166666666667
"686","E01000716",11.25
"687","E01000717",29.5833333333333
"688","E01000718",62.0833333333333
"689","E01000719",57.9166666666667
"690","E01000720",56.25
"691","E01000721",49.5833333333333
"692","E01000722",41.6666666666667
"693","E01000723",10
"694","E01000724",70.8333333333333
"695","E01000725",62.9166666666667
"696","E01000726",24.1666666666667
"697","E01000727",32.0833333333333
"698","E01000728",43.3333333333333
"699","E01000729",77.0833333333333
"700","E01000730",73.75
"701","E01000731",41.6666666666667
"702","E01000732",17.9166666666667
"703","E01000733",43.3333333333333
"704","E01000734",19.1666666666667
"705","E01000735",41.25
"706","E01000736",38.75
"707","E01000737",50.8333333333333
"708","E01000738",38.3333333333333
"709","E01000739",68.75
"710","E01000741",63.3333333333333
"711","E01000742",65.4166666666667
"712","E01000743",77.5
"713","E01000744",83.3333333333333
"714","E01000745",62.9166666666667
"715","E01000746",66.6666666666667
"716","E01000747",35.8333333333333
"717","E01000748",13.3333333333333
"718","E01000749",9.16666666666667
"719","E01000750",47.0833333333333
"720","E01000751",11.6666666666667
"721","E01000752",22.0833333333333
"722","E01000753",7.91666666666667
"723","E01000754",15.4166666666667
"724","E01000755",9.58333333333333
"725","E01000756",14.1666666666667
"726","E01000757",7.91666666666667
"727","E01000758",6.66666666666667
"728","E01000759",11.6666666666667
"729","E01000760",21.25
"730","E01000761",11.25
"731","E01000762",23.3333333333333
"732","E01000763",12.5
"733","E01000764",33.75
"734","E01000765",19.5833333333333
"735","E01000766",9.58333333333333
"736","E01000767",12.9166666666667
"737","E01000768",10.4166666666667
"738","E01000769",27.0833333333333
"739","E01000770",16.25
"740","E01000771",19.5833333333333
"741","E01000772",16.25
"742","E01000773",8.33333333333333
"743","E01000774",14.5833333333333
"744","E01000775",28.3333333333333
"745","E01000777",16.6666666666667
"746","E01000778",24.1666666666667
"747","E01000779",27.9166666666667
"748","E01000780",47.9166666666667
"749","E01000781",81.6666666666667
"750","E01000782",64.5833333333333
"751","E01000783",57.9166666666667
"752","E01000784",21.25
"753","E01000785",49.5833333333333
"754","E01000786",16.6666666666667
"755","E01000787",40.4166666666667
"756","E01000788",35.4166666666667
"757","E01000789",79.1666666666667
"758","E01000790",37.9166666666667
"759","E01000791",17.0833333333333
"760","E01000792",20.4166666666667
"761","E01000793",11.25
"762","E01000794",9.16666666666667
"763","E01000795",19.1666666666667
"764","E01000796",67.5
"765","E01000797",24.1666666666667
"766","E01000798",75.8333333333333
"767","E01000799",65.8333333333333
"768","E01000800",76.25
"769","E01000801",31.6666666666667
"770","E01000802",64.1666666666667
"771","E01000803",49.1666666666667
"772","E01000804",19.5833333333333
"773","E01000805",50.4166666666667
"774","E01000806",77.9166666666667
"775","E01000807",24.1666666666667
"776","E01000808",10.8333333333333
"777","E01000809",11.25
"778","E01000810",5.41666666666667
"779","E01000811",11.6666666666667
"780","E01000812",21.25
"781","E01000813",10.4166666666667
"782","E01000814",7.5
"783","E01000815",4.58333333333333
"784","E01000816",32.9166666666667
"785","E01000818",18.3333333333333
"786","E01000819",66.6666666666667
"787","E01000820",50.4166666666667
"788","E01000822",36.6666666666667
"789","E01000823",33.75
"790","E01000824",34.5833333333333
"791","E01000825",40
"792","E01000826",6.25
"793","E01000827",18.75
"794","E01000828",20
"795","E01000829",26.25
"796","E01000830",9.16666666666667
"797","E01000831",17.9166666666667
"798","E01000832",12.5
"799","E01000833",6.66666666666667
"800","E01000834",13.3333333333333
"801","E01000835",32.5
"802","E01000836",11.6666666666667
"803","E01000837",22.5
"804","E01000838",10.8333333333333
"805","E01000839",9.58333333333333
"806","E01000840",5
"807","E01000841",9.58333333333333
"808","E01000842",26.25
"809","E01000843",37.0833333333333
"810","E01000844",17.0833333333333
"811","E01000845",25
"812","E01000846",60
"813","E01000847",47.9166666666667
"814","E01000848",27.5
"815","E01000849",23.75
"816","E01000850",18.3333333333333
"817","E01000851",39.5833333333333
"818","E01000853",65.4166666666667
"819","E01000855",102.916666666667
"820","E01000856",56.25
"821","E01000857",33.3333333333333
"822","E01000858",75.4166666666667
"823","E01000859",22.5
"824","E01000860",27.0833333333333
"825","E01000861",72.0833333333333
"826","E01000862",26.25
"827","E01000863",102.083333333333
"828","E01000866",68.3333333333333
"829","E01000867",69.1666666666667
"830","E01000868",81.25
"831","E01000869",62.9166666666667
"832","E01000870",52.5
"833","E01000871",42.0833333333333
"834","E01000872",90.4166666666667
"835","E01000873",22.9166666666667
"836","E01000874",17.0833333333333
"837","E01000875",64.5833333333333
"838","E01000876",63.3333333333333
"839","E01000877",31.25
"840","E01000878",26.6666666666667
"841","E01000879",17.0833333333333
"842","E01000880",12.0833333333333
"843","E01000881",31.25
"844","E01000882",8.33333333333333
"845","E01000883",30.8333333333333
"846","E01000884",21.6666666666667
"847","E01000885",16.25
"848","E01000886",27.5
"849","E01000887",40
"850","E01000888",35.4166666666667
"851","E01000889",76.25
"852","E01000890",72.5
"853","E01000891",71.6666666666667
"854","E01000892",38.3333333333333
"855","E01000893",15.4166666666667
"856","E01000894",5.83333333333333
"857","E01000895",34.5833333333333
"858","E01000896",12.9166666666667
"859","E01000897",12.9166666666667
"860","E01000898",34.1666666666667
"861","E01000899",20.8333333333333
"862","E01000900",53.75
"863","E01000901",76.6666666666667
"864","E01000902",57.9166666666667
"865","E01000903",30
"866","E01000904",85.8333333333333
"867","E01000905",77.9166666666667
"868","E01000906",21.25
"869","E01000907",58.75
"870","E01000908",77.5
"871","E01000909",37.5
"872","E01000910",23.3333333333333
"873","E01000911",33.75
"874","E01000912",70.8333333333333
"875","E01000913",12.5
"876","E01000914",130
"877","E01000915",58.3333333333333
"878","E01000916",70.8333333333333
"879","E01000917",107.5
"880","E01000918",50
"881","E01000919",41.6666666666667
"882","E01000920",52.0833333333333
"883","E01000921",64.1666666666667
"884","E01000922",74.5833333333333
"885","E01000923",39.1666666666667
"886","E01000924",42.5
"887","E01000925",66.6666666666667
"888","E01000926",53.75
"889","E01000927",30.4166666666667
"890","E01000928",60
"891","E01000929",70.8333333333333
"892","E01000930",94.1666666666667
"893","E01000931",100.833333333333
"894","E01000932",48.3333333333333
"895","E01000933",68.3333333333333
"896","E01000934",80
"897","E01000935",74.1666666666667
"898","E01000937",10.4166666666667
"899","E01000938",79.5833333333333
"900","E01000939",103.75
"901","E01000941",63.3333333333333
"902","E01000942",22.9166666666667
"903","E01000943",42.5
"904","E01000944",73.3333333333333
"905","E01000946",51.25
"906","E01000947",67.0833333333333
"907","E01000948",48.3333333333333
"908","E01000949",53.3333333333333
"909","E01000951",65
"910","E01000952",57.5
"911","E01000954",75.4166666666667
"912","E01000955",61.25
"913","E01000956",87.5
"914","E01000957",56.6666666666667
"915","E01000958",96.6666666666667
"916","E01000959",65.8333333333333
"917","E01000960",59.1666666666667
"918","E01000961",63.75
"919","E01000962",17.9166666666667
"920","E01000963",21.6666666666667
"921","E01000964",33.3333333333333
"922","E01000965",36.6666666666667
"923","E01000966",12.9166666666667
"924","E01000967",18.75
"925","E01000968",32.9166666666667
"926","E01000969",31.6666666666667
"927","E01000970",31.25
"928","E01000971",30
"929","E01000972",75.8333333333333
"930","E01000973",98.3333333333333
"931","E01000974",79.5833333333333
"932","E01000975",82.9166666666667
"933","E01000976",118.333333333333
"934","E01000977",70.4166666666667
"935","E01000978",75.8333333333333
"936","E01000979",70
"937","E01000980",54.5833333333333
"938","E01000981",47.9166666666667
"939","E01000982",59.1666666666667
"940","E01000983",41.6666666666667
"941","E01000984",81.25
"942","E01000985",23.75
"943","E01000986",37.9166666666667
"944","E01000987",25.4166666666667
"945","E01000989",37.5
"946","E01000990",74.5833333333333
"947","E01000991",25.4166666666667
"948","E01000992",71.6666666666667
"949","E01000993",40.4166666666667
"950","E01000994",65
"951","E01000995",68.75
"952","E01000996",59.1666666666667
"953","E01000997",70.8333333333333
"954","E01000998",110.416666666667
"955","E01000999",33.75
"956","E01001000",75.4166666666667
"957","E01001001",96.25
"958","E01001002",75
"959","E01001003",62.0833333333333
"960","E01001004",106.25
